Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,28/08/2021,14:30,FC Koln,Bochum,2,1,1.72,2.1
D1,28/08/2021,14:30,Mainz,Greuther Furth,3,0,1.72,2.1
D1,28/08/2021,14:30,Stuttgart,Freiburg,2,3,1.72,2.1
D1,28/08/2021,17:30,Bayern Munich,Hertha,5,0,1.25,4
D1,29/08/2021,14:30,Union Berlin,M'gladbach,2,1,1.8,2
D1,29/08/2021,16:30,Wolfsburg,RB Leipzig,1,0,1.8,2
D1,11/09/2021,14:30,Freiburg,FC Koln,1,1,1.66,2.2
D1,11/09/2021,14:30,Greuther Furth,Wolfsburg,0,2,1.61,2.3
D1,11/09/2021,14:30,Hoffenheim,Mainz,0,2,1.57,2.37
D1,11/09/2021,14:30,Leverkusen,Dortmund,3,4,1.4,3
D1,11/09/2021,14:30,Union Berlin,Augsburg,0,0,1.91,1.99
D1,11/09/2021,17:30,RB Leipzig,Bayern Munich,1,4,1.44,2.75
